Survey_Date,Age,Gender,Region,Industry,Job_Role,Work_Arrangement,Hours_Per_Week,Mental_Health_Status,Burnout_Level,Work_Life_Balance_Score,Physical_Health_Issues,Social_Isolation_Score,Salary_Range,
6/1/2025,27,Female,Asia,Professional Services,Data Analyst,Onsite,64,Stress Disorder,High,3,Shoulder Pain; Neck Pain,2,$40K-60K,
6/1/2025,37,Female,Asia,Professional Services,Data Analyst,Onsite,37,Stress Disorder,High,4,Back Pain,2,$80K-100K,
6/1/2025,32,Female,Africa,Education,Business Analyst,Onsite,36,ADHD,High,3,Shoulder Pain; Eye Strain,2,$80K-100K,
6/1/2025,40,Female,Europe,Education,Data Analyst,Onsite,63,ADHD,Medium,1,Shoulder Pain; Eye Strain,2,$60K-80K,
6/1/2025,30,Male,South America,Manufacturing,DevOps Engineer,Hybrid,65,None,Medium,5,None,4,$60K-80K,
6/1/2025,52,Male,Oceania,Customer Service,Business Analyst,Onsite,61,Burnout,Medium,4,Back Pain; Shoulder Pain,3,$60K-80K,
6/1/2025,50,Female,Asia,Manufacturing,IT Support,Onsite,62,None,Medium,4,Back Pain; Shoulder Pain; Wrist Pain,2,$80K-100K,
6/1/2025,63,Non-binary,Europe,Professional Services,Technical Writer,Onsite,55,Anxiety,High,3,None,2,$100K-120K,
6/1/2025,30,Female,South America,Technology,Software Engineer,Remote,47,Anxiety,Medium,2,Neck Pain,4,$60K-80K,
6/1/2025,37,Female,Asia,Finance,HR Manager,Onsite,55,Burnout,Medium,5,Back Pain,1,$60K-80K,
6/1/2025,42,Female,Asia,Professional Services,Project Manager,Onsite,38,None,High,3,Shoulder Pain,2,$100K-120K,
6/1/2025,64,Male,North America,Technology,Business Analyst,Remote,35,ADHD,Medium,3,Eye Strain; Wrist Pain,4,$40K-60K,
6/1/2025,25,Female,Oceania,Technology,Data Scientist,Hybrid,57,Burnout,High,2,Back Pain; Eye Strain,1,$80K-100K,
6/1/2025,37,Male,Europe,Finance,UX Designer,Remote,59,Anxiety,High,5,Back Pain; Shoulder Pain; Wrist Pain,5,$60K-80K,
6/1/2025,50,Male,Europe,Professional Services,Social Media Manager,Remote,64,Burnout,Medium,1,None,4,$60K-80K,
6/1/2025,42,Female,South America,Retail,Data Scientist,Onsite,54,Anxiety,High,5,Back Pain; Shoulder Pain; Eye Strain,2,$120K+,
6/1/2025,30,Male,Oceania,Professional Services,Data Analyst,Hybrid,36,Anxiety,High,3,Neck Pain,2,$60K-80K,
6/1/2025,36,Female,Africa,Customer Service,HR Manager,Onsite,63,None,Medium,3,Shoulder Pain,2,$60K-80K,
6/1/2025,50,Male,North America,Education,Digital Marketing Specialist,Onsite,51,Stress Disorder,Low,4,Back Pain; Shoulder Pain,5,$100K-120K,
6/1/2025,27,Female,Africa,Healthcare,Account Manager,Remote,43,None,Medium,1,None,4,$80K-100K,
6/1/2025,36,Female,Africa,Manufacturing,Research Scientist,Remote,41,PTSD,High,5,Back Pain; Shoulder Pain; Eye Strain,3,$100K-120K,
6/1/2025,57,Male,Africa,Retail,Sales Representative,Onsite,57,Burnout,High,3,Shoulder Pain; Eye Strain,3,$60K-80K,
6/1/2025,37,Male,South America,Manufacturing,Technical Writer,Remote,58,ADHD,High,1,Shoulder Pain,5,$60K-80K,
6/1/2025,26,Female,South America,Customer Service,Data Analyst,Hybrid,59,Stress Disorder,Medium,2,Back Pain; Wrist Pain,5,$40K-60K,
6/1/2025,55,Male,Africa,Professional Services,Operations Manager,Onsite,51,PTSD,High,4,Back Pain,4,$80K-100K,
6/1/2025,59,Male,Africa,Education,Social Media Manager,Onsite,53,Anxiety,Medium,3,None,1,$60K-80K,
6/1/2025,59,Male,Oceania,Finance,Customer Service Manager,Remote,45,Anxiety,High,2,Shoulder Pain; Eye Strain; Neck Pain; Wrist Pain,3,$80K-100K,
6/1/2025,23,Male,North America,Professional Services,Product Manager,Onsite,63,Stress Disorder,Medium,3,Shoulder Pain; Neck Pain,2,$60K-80K,
6/1/2025,57,Female,Oceania,Customer Service,Research Scientist,Remote,41,Depression,Medium,3,Back Pain; Shoulder Pain; Eye Strain,3,$120K+,
6/1/2025,59,Male,South America,Retail,Research Scientist,Onsite,48,Anxiety,High,3,Back Pain,3,$60K-80K,
6/1/2025,22,Female,North America,Manufacturing,DevOps Engineer,Hybrid,47,Anxiety,High,4,Eye Strain,1,$60K-80K,
6/1/2025,25,Male,Africa,Professional Services,Sales Representative,Onsite,49,PTSD,Low,3,Back Pain; Shoulder Pain; Eye Strain; Neck Pain,2,$100K-120K,
6/1/2025,54,Female,South America,Customer Service,Data Analyst,Hybrid,45,None,Medium,1,Back Pain; Eye Strain,1,$80K-100K,
6/1/2025,27,Male,Europe,Education,IT Support,Onsite,44,Depression,Medium,3,Back Pain; Shoulder Pain; Eye Strain,3,$80K-100K,
6/1/2025,47,Female,Europe,Professional Services,Product Manager,Onsite,50,Burnout,High,3,Shoulder Pain,4,$40K-60K,
6/1/2025,39,Male,North America,Manufacturing,Quality Assurance,Onsite,59,Anxiety,Low,5,Eye Strain; Neck Pain,2,$60K-80K,
6/1/2025,62,Female,Asia,Education,Software Engineer,Remote,60,Stress Disorder,Medium,4,Back Pain; Eye Strain,5,$120K+,
6/1/2025,42,Male,Europe,Technology,Customer Service Manager,Remote,43,ADHD,Low,3,Eye Strain; Neck Pain,4,$60K-80K,
6/1/2025,26,Male,South America,Manufacturing,Sales Representative,Hybrid,65,PTSD,High,2,Back Pain; Shoulder Pain,1,$60K-80K,
6/1/2025,29,Female,Africa,Technology,Sales Representative,Hybrid,55,None,Medium,2,Back Pain; Eye Strain,3,$80K-100K,
6/1/2025,31,Female,Africa,Technology,Product Manager,Hybrid,42,PTSD,High,2,Shoulder Pain; Eye Strain; Wrist Pain,4,$100K-120K,
6/1/2025,42,Female,South America,Healthcare,Digital Marketing Specialist,Onsite,60,Depression,High,3,Back Pain; Shoulder Pain; Eye Strain,3,$60K-80K,
6/1/2025,33,Female,North America,Manufacturing,Project Manager,Onsite,43,None,Medium,2,Back Pain; Neck Pain,3,$60K-80K,
6/1/2025,50,Male,Oceania,Healthcare,Operations Manager,Onsite,53,None,High,3,None,2,$80K-100K,
6/1/2025,65,Female,Europe,Education,UX Designer,Onsite,61,Burnout,Low,4,Back Pain; Shoulder Pain; Eye Strain; Neck Pain,1,$40K-60K,
6/1/2025,40,Male,North America,Professional Services,Customer Service Manager,Remote,62,Stress Disorder,Medium,4,Back Pain; Eye Strain,2,$60K-80K,
6/1/2025,22,Female,Asia,Customer Service,IT Support,Hybrid,64,ADHD,Medium,1,None,3,$80K-100K,
6/1/2025,58,Male,Oceania,Technology,Project Manager,Hybrid,65,PTSD,Medium,3,Wrist Pain,4,$80K-100K,
6/1/2025,51,Female,Europe,Finance,Executive Assistant,Hybrid,60,Burnout,Low,2,Shoulder Pain; Eye Strain,3,$80K-100K,
6/1/2025,40,Female,Asia,Professional Services,HR Manager,Remote,62,None,High,1,None,1,$80K-100K,
6/1/2025,62,Female,Africa,Technology,DevOps Engineer,Remote,46,Depression,High,1,Back Pain; Shoulder Pain; Neck Pain,4,$100K-120K,
6/1/2025,50,Male,South America,Technology,UX Designer,Onsite,42,ADHD,High,4,Back Pain; Eye Strain; Neck Pain,1,$40K-60K,
6/1/2025,41,Female,North America,Retail,Technical Writer,Hybrid,45,ADHD,High,5,Eye Strain; Neck Pain,3,$40K-60K,
6/1/2025,25,Female,North America,Healthcare,Financial Analyst,Onsite,65,Burnout,High,3,Neck Pain,2,$80K-100K,
6/1/2025,44,Female,South America,Retail,Marketing Specialist,Onsite,48,None,Low,5,Back Pain; Eye Strain; Neck Pain,3,$80K-100K,
6/1/2025,29,Male,Asia,Manufacturing,HR Manager,Onsite,38,Depression,High,4,Back Pain; Neck Pain,3,$80K-100K,
6/1/2025,53,Female,North America,Marketing,Data Scientist,Onsite,56,ADHD,High,1,Shoulder Pain; Eye Strain,2,$80K-100K,
6/1/2025,48,Female,North America,Professional Services,Research Scientist,Remote,56,PTSD,Low,3,Back Pain,3,$80K-100K,
6/1/2025,27,Male,Europe,Professional Services,Account Manager,Hybrid,39,None,High,2,Back Pain; Shoulder Pain; Eye Strain,2,$80K-100K,
6/1/2025,49,Male,Asia,Professional Services,Social Media Manager,Hybrid,56,ADHD,Medium,3,Back Pain; Shoulder Pain; Eye Strain; Wrist Pain,2,$60K-80K,
6/1/2025,49,Female,Africa,Marketing,Quality Assurance,Onsite,45,Depression,Low,2,Shoulder Pain; Eye Strain,2,$80K-100K,
6/1/2025,31,Female,North America,Technology,Data Analyst,Remote,45,ADHD,Medium,3,Eye Strain,2,$80K-100K,
6/1/2025,27,Female,North America,Professional Services,DevOps Engineer,Onsite,36,Stress Disorder,Medium,2,Back Pain; Shoulder Pain; Eye Strain,2,$100K-120K,
6/1/2025,40,Male,North America,Technology,Business Analyst,Remote,50,None,Low,1,Back Pain; Shoulder Pain,3,$60K-80K,
6/1/2025,39,Female,North America,Technology,Customer Service Manager,Hybrid,54,Depression,High,2,Back Pain; Eye Strain,3,$60K-80K,
6/1/2025,40,Male,South America,Retail,Technical Writer,Onsite,36,ADHD,Medium,3,Shoulder Pain,1,$100K-120K,
6/1/2025,37,Male,Oceania,Finance,Consultant,Hybrid,37,None,Low,4,Back Pain; Eye Strain,2,$80K-100K,
6/1/2025,39,Male,Europe,Technology,Marketing Specialist,Hybrid,55,Burnout,Medium,4,Shoulder Pain; Eye Strain; Neck Pain,2,$60K-80K,
6/1/2025,22,Male,Oceania,Technology,Sales Representative,Onsite,43,Stress Disorder,Medium,1,Shoulder Pain; Eye Strain; Wrist Pain,2,$60K-80K,
6/1/2025,53,Male,Africa,Education,UX Designer,Onsite,47,Stress Disorder,Low,2,Back Pain; Shoulder Pain; Eye Strain,5,$40K-60K,
6/1/2025,56,Female,Africa,Education,DevOps Engineer,Onsite,52,PTSD,Medium,4,Shoulder Pain,2,$80K-100K,
6/1/2025,33,Female,Oceania,Finance,Technical Writer,Hybrid,48,Depression,Medium,2,Neck Pain,2,$60K-80K,
6/1/2025,28,Female,Asia,Professional Services,Technical Writer,Onsite,44,None,Low,3,Back Pain; Shoulder Pain; Eye Strain,3,$60K-80K,
6/1/2025,64,Female,Asia,Technology,Technical Writer,Remote,40,Burnout,High,4,Back Pain; Shoulder Pain; Eye Strain,4,$60K-80K,
6/1/2025,49,Male,Asia,Manufacturing,Data Scientist,Hybrid,35,Depression,Low,3,Shoulder Pain,4,$120K+,
6/1/2025,33,Female,North America,Professional Services,Social Media Manager,Hybrid,48,ADHD,High,2,Back Pain; Shoulder Pain,2,$80K-100K,
6/1/2025,44,Female,Oceania,Education,Software Engineer,Hybrid,47,ADHD,Medium,3,Eye Strain,3,$120K+,
6/1/2025,41,Female,Europe,Technology,Sales Representative,Hybrid,43,None,High,3,Shoulder Pain,1,$120K+,
6/1/2025,25,Female,South America,Technology,Customer Service Manager,Remote,59,Depression,Low,2,None,4,$60K-80K,
6/1/2025,58,Female,Oceania,Education,Social Media Manager,Onsite,50,Depression,Medium,3,Back Pain,2,$40K-60K,
6/1/2025,58,Male,Oceania,Technology,Product Manager,Remote,37,Depression,High,1,Back Pain; Shoulder Pain; Neck Pain,4,$120K+,
6/1/2025,65,Female,Africa,Manufacturing,Executive Assistant,Onsite,64,Depression,Medium,4,Back Pain,3,$40K-60K,
6/1/2025,44,Female,North America,Healthcare,Executive Assistant,Hybrid,49,Anxiety,Medium,3,Neck Pain; Wrist Pain,2,$60K-80K,
6/1/2025,22,Female,Africa,Finance,Operations Manager,Hybrid,59,Burnout,Medium,2,Neck Pain,1,$60K-80K,
6/1/2025,60,Female,Asia,Customer Service,DevOps Engineer,Onsite,35,PTSD,Low,3,Back Pain,4,$60K-80K,
6/1/2025,55,Female,North America,Marketing,Technical Writer,Onsite,47,PTSD,Low,4,Back Pain; Shoulder Pain; Eye Strain,2,$80K-100K,
6/1/2025,65,Male,North America,Healthcare,IT Support,Onsite,45,Anxiety,Low,4,None,1,$120K+,
6/1/2025,39,Female,Asia,Finance,HR Manager,Onsite,52,Burnout,Low,3,Back Pain; Shoulder Pain,4,$80K-100K,
6/1/2025,43,Female,North America,Finance,Customer Service Manager,Hybrid,40,PTSD,High,3,None,1,$80K-100K,
6/1/2025,22,Female,Europe,Customer Service,Software Engineer,Onsite,45,ADHD,Low,4,Back Pain; Wrist Pain,2,$100K-120K,
6/1/2025,22,Female,Europe,Retail,Social Media Manager,Onsite,60,ADHD,High,5,Back Pain; Eye Strain; Neck Pain; Wrist Pain,3,$80K-100K,
6/1/2025,59,Male,Africa,Technology,HR Manager,Remote,58,Depression,Medium,5,None,3,$80K-100K,
6/1/2025,48,Male,Europe,Professional Services,Social Media Manager,Onsite,49,ADHD,Low,1,None,2,$80K-100K,
6/1/2025,42,Male,Oceania,Professional Services,Content Writer,Onsite,52,PTSD,Low,1,Back Pain; Shoulder Pain; Eye Strain,3,$40K-60K,
6/1/2025,64,Female,Europe,Retail,Customer Service Manager,Onsite,45,Stress Disorder,High,3,Shoulder Pain; Eye Strain; Neck Pain,3,$100K-120K,
6/1/2025,27,Male,Africa,Customer Service,Executive Assistant,Onsite,62,None,Medium,1,Eye Strain,2,$80K-100K,
6/1/2025,53,Female,Asia,Technology,DevOps Engineer,Remote,38,Anxiety,High,5,Back Pain; Shoulder Pain; Eye Strain,5,$100K-120K,
6/1/2025,22,Female,South America,Professional Services,Research Scientist,Remote,65,Burnout,High,5,Shoulder Pain; Eye Strain,3,$100K-120K,
6/2/2025,41,Female,Oceania,Retail,Marketing Specialist,Hybrid,46,Stress Disorder,Medium,3,Shoulder Pain; Eye Strain,2,$60K-80K,
6/2/2025,23,Male,Asia,Technology,Sales Representative,Remote,44,Burnout,High,5,Back Pain; Eye Strain; Neck Pain,5,$40K-60K,
6/2/2025,30,Male,Oceania,Manufacturing,Data Scientist,Hybrid,47,PTSD,High,3,Shoulder Pain; Eye Strain,4,$100K-120K,
6/2/2025,55,Male,Europe,Finance,Research Scientist,Hybrid,64,ADHD,Low,3,None,3,$60K-80K,
6/2/2025,31,Male,South America,Finance,Software Engineer,Onsite,46,Stress Disorder,High,5,Back Pain; Wrist Pain,2,$80K-100K,
6/2/2025,45,Male,Asia,Technology,Quality Assurance,Remote,39,PTSD,Low,1,Back Pain; Shoulder Pain,4,$60K-80K,
6/2/2025,38,Female,North America,Professional Services,Software Engineer,Onsite,43,PTSD,Medium,3,Back Pain; Eye Strain,1,$80K-100K,
6/2/2025,46,Male,South America,Professional Services,Social Media Manager,Onsite,40,Depression,Medium,4,Back Pain; Shoulder Pain; Eye Strain; Wrist Pain,1,$80K-100K,
6/2/2025,63,Male,Europe,Technology,Account Manager,Remote,51,None,Low,3,Back Pain; Shoulder Pain,2,$60K-80K,
6/2/2025,52,Female,Asia,Retail,Software Engineer,Onsite,39,Depression,Medium,4,Back Pain,3,$100K-120K,
6/2/2025,44,Female,North America,Finance,Social Media Manager,Onsite,56,Anxiety,Medium,3,None,1,$120K+,
6/2/2025,31,Female,Europe,Customer Service,Content Writer,Hybrid,47,None,Medium,5,Shoulder Pain,4,$40K-60K,
6/2/2025,63,Female,Africa,Professional Services,Customer Service Manager,Onsite,42,Anxiety,Medium,2,Back Pain; Shoulder Pain; Eye Strain,3,$80K-100K,
6/2/2025,58,Male,North America,Manufacturing,Quality Assurance,Hybrid,53,Burnout,Medium,3,None,2,$40K-60K,
6/2/2025,43,Male,Oceania,Technology,Product Manager,Onsite,55,Anxiety,Medium,3,Back Pain; Eye Strain,2,$80K-100K,
6/2/2025,45,Female,South America,Technology,Business Analyst,Onsite,57,PTSD,Low,3,Back Pain; Shoulder Pain; Eye Strain; Neck Pain,3,$80K-100K,
6/2/2025,47,Male,North America,Technology,Sales Representative,Remote,55,Stress Disorder,High,3,Back Pain; Shoulder Pain,3,$40K-60K,
6/2/2025,44,Male,Oceania,Manufacturing,Operations Manager,Onsite,43,Burnout,Low,3,Back Pain; Eye Strain,2,$100K-120K,
6/2/2025,59,Female,Africa,Education,UX Designer,Hybrid,61,None,Medium,3,Shoulder Pain,2,$60K-80K,
6/2/2025,51,Female,North America,Technology,Business Analyst,Hybrid,51,None,High,3,Back Pain; Eye Strain,5,$40K-60K,
6/2/2025,40,Male,Asia,Finance,Sales Representative,Remote,60,PTSD,Medium,4,Back Pain,5,$60K-80K,
6/2/2025,62,Male,Europe,Technology,UX Designer,Hybrid,52,ADHD,High,4,Back Pain; Eye Strain,5,$60K-80K,
6/2/2025,29,Female,North America,Finance,Sales Representative,Hybrid,46,Burnout,Low,5,Neck Pain,3,$80K-100K,
6/2/2025,57,Female,South America,Education,Executive Assistant,Onsite,55,None,Medium,2,Shoulder Pain; Eye Strain; Wrist Pain,1,$80K-100K,
6/2/2025,56,Male,South America,Customer Service,Quality Assurance,Remote,59,None,High,2,Back Pain; Eye Strain; Neck Pain; Wrist Pain,5,$80K-100K,
6/2/2025,52,Male,Asia,Technology,Quality Assurance,Remote,42,Stress Disorder,Medium,3,Back Pain; Shoulder Pain; Neck Pain,4,$40K-60K,
6/2/2025,47,Male,South America,Professional Services,Marketing Specialist,Onsite,55,Burnout,Low,1,Back Pain,1,$60K-80K,
6/2/2025,64,Male,North America,Finance,Customer Service Manager,Remote,41,Burnout,Low,1,Back Pain; Shoulder Pain; Eye Strain; Neck Pain,3,$80K-100K,
6/2/2025,51,Male,Asia,Manufacturing,Content Writer,Remote,41,Depression,Medium,3,Back Pain; Eye Strain,4,$60K-80K,
6/2/2025,58,Male,Oceania,Finance,HR Manager,Onsite,63,Depression,Medium,1,None,3,$60K-80K,
6/2/2025,26,Female,North America,Retail,Marketing Specialist,Onsite,45,ADHD,Medium,3,Shoulder Pain; Eye Strain,3,$60K-80K,
6/2/2025,23,Male,North America,Technology,Product Manager,Remote,50,Anxiety,High,4,Back Pain; Shoulder Pain,5,$60K-80K,
6/2/2025,24,Female,South America,Marketing,Executive Assistant,Onsite,53,PTSD,High,1,Neck Pain,1,$80K-100K,
6/2/2025,25,Female,Europe,Technology,Operations Manager,Remote,42,PTSD,Medium,4,Back Pain; Eye Strain; Wrist Pain,5,$40K-60K,
6/2/2025,42,Female,Oceania,Technology,Business Analyst,Remote,60,None,High,4,Eye Strain; Wrist Pain,3,$100K-120K,
6/2/2025,56,Female,Oceania,Manufacturing,Marketing Specialist,Onsite,55,PTSD,Medium,2,Back Pain; Shoulder Pain; Wrist Pain,3,$40K-60K,
6/2/2025,26,Female,Asia,Technology,Project Manager,Hybrid,41,Stress Disorder,High,3,Back Pain; Neck Pain; Wrist Pain,3,$80K-100K,
6/2/2025,55,Female,Africa,Professional Services,Research Scientist,Hybrid,43,Anxiety,Medium,2,Back Pain; Shoulder Pain,4,$40K-60K,
6/2/2025,56,Male,Oceania,Education,Marketing Specialist,Onsite,63,None,High,2,Shoulder Pain; Eye Strain; Neck Pain,3,$80K-100K,
6/2/2025,53,Female,South America,Technology,Executive Assistant,Hybrid,44,Anxiety,Medium,2,Eye Strain,4,$120K+,
6/2/2025,37,Non-binary,South America,Technology,Quality Assurance,Onsite,48,Anxiety,Low,1,None,3,$80K-100K,
6/2/2025,45,Male,Europe,Finance,UX Designer,Onsite,37,None,Low,5,Shoulder Pain; Neck Pain,3,$60K-80K,
6/2/2025,29,Female,North America,Professional Services,Consultant,Onsite,48,Stress Disorder,Low,5,Neck Pain,3,$60K-80K,
6/2/2025,46,Male,Africa,Technology,Quality Assurance,Remote,41,ADHD,Medium,2,Back Pain,5,$80K-100K,
6/2/2025,61,Female,South America,Education,Operations Manager,Onsite,60,Anxiety,Medium,1,Back Pain; Shoulder Pain,1,$40K-60K,
6/2/2025,40,Female,Europe,Manufacturing,Product Manager,Onsite,64,ADHD,Low,4,Back Pain; Shoulder Pain,1,$60K-80K,
6/2/2025,49,Female,South America,Technology,Data Analyst,Hybrid,49,ADHD,Low,1,None,1,$60K-80K,
6/2/2025,27,Female,North America,Finance,Data Analyst,Onsite,44,Depression,Low,5,Shoulder Pain,3,$60K-80K,
6/2/2025,38,Male,Oceania,Professional Services,UX Designer,Hybrid,47,Stress Disorder,Medium,2,Shoulder Pain; Eye Strain,1,$60K-80K,
6/2/2025,44,Female,Oceania,Technology,Operations Manager,Remote,45,Anxiety,Low,5,Eye Strain,3,$60K-80K,
6/2/2025,24,Male,Asia,Education,Customer Service Manager,Onsite,39,Depression,Low,3,Back Pain; Eye Strain,4,$80K-100K,
6/2/2025,46,Non-binary,Europe,Professional Services,Account Manager,Hybrid,45,None,Low,5,Shoulder Pain,1,$80K-100K,
6/2/2025,59,Male,South America,Manufacturing,Consultant,Hybrid,47,Anxiety,High,3,Shoulder Pain; Eye Strain,1,$40K-60K,
